Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Форма фарфоровая с крышкой OPTU15,http://rakporcelain.com/products/productbig_713_1432116223OPTU23.png,1 533,RAK (Арабские Эмираты),OPTU15,"
								Размеры: 15 × 12 × 9 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9683/
Форма фарфоровая с крышкой OPTU16,http://rakporcelain.com/products/productbig_713_1432116223OPTU23.png,2 051,RAK (Арабские Эмираты),OPTU16,"
								Размеры: 16 × 14 × 20 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9684/
Форма фарфоровая с крышкой OPTU20,http://rakporcelain.com/products/productbig_713_1432116223OPTU23.png,2 557,RAK (Арабские Эмираты),OPTU20,"
								Размеры: 20 × 15 × 12 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9685/
Форма фарфоровая с крышкой OPTU23,http://rakporcelain.com/products/productbig_713_1432116223OPTU23.png,3 069,RAK (Арабские Эмираты),OPTU23,"
								Размеры: 23 × 18 × 14 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9686/
