Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Подставка для палочек и ложки NNST07,http://rakporcelain.com/products/productbig_678_1432023393NNST07.png,313,RAK (Арабские Эмираты),NNST07,Размер: 7 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  NANO,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_641/9720/
Салатник NNBW09,http://rakporcelain.com/products/productbig_664_1431957210NNBW20.png,297,RAK (Арабские Эмираты),NNBW09,Размер: 9 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  NANO,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_641/item_894/
Салатник NNBW10,http://rakporcelain.com/products/productbig_664_1431957210NNBW20.png,313,RAK (Арабские Эмираты),NNBW10,Размер: 10 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  NANO,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_641/9781/
Салатник NNBW12,http://rakporcelain.com/products/productbig_665_1431954361BABW12n.png,357,RAK (Арабские Эмираты),NNBW12,Размер: 12 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  NANO,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_641/9782/
Салатник NNRB16,http://rakporcelain.com/products/productbig_666_1431955481NNRB16.png,414,RAK (Арабские Эмираты),NNRB16,Размер: 16 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  NANO,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_641/9783/
Салатник прямоугольный EDSB45IV,http://rakporcelain.com/products/productbig_659_1431948009EDSB70IV.png,840,RAK (Арабские Эмираты),EDSB45IV,"
20х6см., 100 cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  NANO,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_641/15514/
Салатник прямоугольный EDSB70IV,http://rakporcelain.com/products/productbig_659_1431948009EDSB70IV.png,969,RAK (Арабские Эмираты),EDSB70IV,"
20х7 см., 140 cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  NANO,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_641/15515/
Сахарница NNSU25,http://rakporcelain.com/products/productbig_673_1432020485NNSU25.png,802,RAK (Арабские Эмираты),NNSU25,"
250 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  NANO,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_641/item_907/
Стаканчик для сакэ NNWC01,http://rakporcelain.com/products/productbig_679_1432023490NNWC01.png,332,RAK (Арабские Эмираты),NNWC01,Размер: 4 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  NANO,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_641/item_909/
"Тарелка ""Coupe"" NNDP23",http://posuda-mix.ru/upload/shop_1/1/6/0/item_16084/item_16084.jpg,366,RAK (Арабские Эмираты),NNDP23,"
  d=23 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  NANO,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_641/NNDP23/
